,Total_Repayments__c,,,Amount,,
,count,min,max,count,min,max
Cluster_result,,,,,,
-1,1289,1,40,1289,100,5000
0,5488,7,7,5488,1000,1000
1,351,7,7,351,1100,1100
2,1133,7,7,1133,1200,1200
3,92,11,11,92,2050,2050
4,955,18,18,955,2050,2050
5,791,12,12,791,2050,2050
6,3724,6,6,3724,200,200
7,5437,3,3,5437,300,300
8,2508,3,3,2508,400,400
9,266,3,3,266,750,750
10,1620,3,3,1620,1000,1000
11,5466,5,5,5466,1000,1000
12,66,4,4,66,1300,1300
13,2012,5,5,2012,1500,1500
14,64,5,5,64,1750,1750
15,2211,5,5,2211,2000,2000
16,272,6,6,272,2000,2000
17,92,5,5,92,2200,2200
18,470,5,5,470,2500,2500
19,372,5,5,372,3000,3000
20,98,5,5,98,3500,3500
21,20,6,6,20,3500,3500
22,121,6,6,121,4000,4000
23,1336,8,8,1336,5000,5000
24,141,10,10,141,5000,5000
25,5419,6,6,5419,500,500
26,4131,10,10,4131,1000,1000
27,4859,14,14,4859,1000,1000
28,888,10,10,888,1200,1200
29,134,10,10,134,1700,1700
30,1776,14,14,1776,2000,2000
31,3103,16,16,3103,2050,2050
32,1211,16,16,1211,5000,5000
33,37,30,30,37,5000,5000
34,62,24,24,62,5000,5000
35,274,1,1,274,500,500
36,2630,2,2,2630,500,500
37,18,1,1,18,850,850
38,167,1,1,167,1000,1000
39,286,1,1,286,2000,2000
40,745,3,3,745,2000,2000
41,251,2,2,251,2000,2000
42,648,4,4,648,2050,2050
43,242,3,3,242,5000,5000
44,25,6,6,25,5000,5000
45,586,3,3,586,450,450
46,8164,3,3,8164,500,500
47,190,3,3,190,650,650
48,97,3,3,97,850,850
49,110,3,3,110,1100,1100
50,317,3,3,317,1200,1200
51,758,3,3,758,1500,1500
52,207,7,7,207,1800,1800
53,148,8,8,148,2000,2000
54,2211,7,7,2211,2000,2000
55,231,7,7,231,2050,2050
56,3668,8,8,3668,2050,2050
57,2548,4,4,2548,200,200
58,1940,4,4,1940,500,500
59,8338,10,10,8338,500,500
60,817,4,4,817,600,600
61,438,4,4,438,700,700
62,1939,10,10,1939,700,700
63,172,4,4,172,750,750
64,1684,10,10,1684,800,800
65,1302,14,14,1302,800,800
66,92,4,4,92,850,850
67,61,6,6,61,850,850
68,201,4,4,201,900,900
69,708,5,5,708,900,900
70,848,6,6,848,1000,1000
71,891,14,14,891,1200,1200
72,225,14,14,225,1400,1400
73,540,14,14,540,1450,1450
74,308,16,16,308,3000,3000
75,9329,3,3,9329,200,200
76,1445,6,6,1445,250,250
77,3112,6,6,3112,300,300
78,3709,10,10,3709,300,300
79,1925,4,4,1925,300,300
80,725,4,4,725,350,350
81,353,7,7,353,350,350
82,1070,6,6,1070,350,350
83,255,8,8,255,400,400
84,2169,2,2,2169,200,200
85,1605,2,2,1605,300,300
86,1605,4,4,1605,400,400
87,6035,5,5,6035,400,400
88,1339,5,5,1339,450,450
89,13098,5,5,13098,500,500
90,1837,7,7,1837,800,800
91,1829,7,7,1829,1500,1500
92,93,7,7,93,1550,1550
93,50,10,10,50,2100,2100
94,21,12,12,21,2100,2100
95,700,7,7,700,300,300
96,18,13,13,18,400,400
97,451,6,6,451,450,450
98,6,13,13,6,450,450
99,47,13,13,47,500,500
100,279,14,14,279,650,650
101,392,10,10,392,650,650
102,451,36,36,451,2050,2050
103,556,7,7,556,200,200
104,9708,5,5,9708,200,200
105,23,8,8,23,250,250
106,3148,3,3,3148,250,250
107,7562,5,5,7562,300,300
108,1961,6,6,1961,400,400
109,94,14,14,94,450,450
110,2648,7,7,2648,500,500
111,105,6,6,105,750,750
112,1516,3,3,1516,350,350
113,833,4,4,833,250,250
114,570,6,6,570,600,600
115,52,20,20,52,3000,3000
116,598,3,3,598,700,700
117,79,3,3,79,1300,1300
118,3471,5,5,3471,250,250
119,261,8,8,261,1000,1000
120,307,14,14,307,1100,1100
121,375,6,6,375,1500,1500
122,613,2,2,613,250,250
123,1476,7,7,1476,700,700
124,145,7,7,145,1050,1050
125,349,7,7,349,250,250
126,2309,5,5,2309,800,800
127,412,7,7,412,1600,1600
128,11,8,8,11,1600,1600
129,117,11,11,117,500,500
130,1047,3,3,1047,600,600
131,1110,4,4,1110,1000,1000
132,21,25,25,21,2050,2050
133,67,12,12,67,400,400
134,3383,10,10,3383,400,400
135,1714,7,7,1714,600,600
136,17,9,9,17,200,200
137,24,9,9,24,400,400
138,1404,10,10,1404,250,250
139,17,12,12,17,350,350
140,2226,10,10,2226,600,600
141,62,14,14,62,1050,1050
142,543,30,30,543,2050,2050
143,2565,5,5,2565,350,350
144,113,2,2,113,900,900
145,220,10,10,220,1300,1300
146,1388,10,10,1388,1500,1500
147,160,10,10,160,1600,1600
148,156,10,10,156,1800,1800
149,272,5,5,272,1800,1800
150,1835,10,10,1835,2000,2000
151,713,20,20,713,2050,2050
152,22,5,5,22,2700,2700
153,32,8,8,32,2800,2800
154,113,8,8,113,3500,3500
155,85,8,8,85,350,350
156,835,7,7,835,400,400
157,1108,14,14,1108,500,500
158,601,8,8,601,500,500
159,13,11,11,13,600,600
160,322,6,6,322,700,700
161,1281,14,14,1281,600,600
162,62,11,11,62,1000,1000
163,685,24,24,685,2050,2050
164,64,36,36,64,2500,2500
165,1157,5,5,1157,1200,1200
166,367,5,5,367,1300,1300
167,307,4,4,307,1500,1500
168,53,3,3,53,1600,1600
169,25,4,4,25,1700,1700
170,53,4,4,53,1800,1800
171,55,5,5,55,2300,2300
172,34,5,5,34,2600,2600
173,241,8,8,241,4000,4000
174,22,8,8,22,4950,4950
175,74,7,7,74,5000,5000
176,680,5,5,680,550,550
177,2790,5,5,2790,600,600
178,476,5,5,476,650,650
179,456,7,7,456,650,650
180,2106,5,5,2106,700,700
181,537,7,7,537,750,750
182,150,4,4,150,650,650
183,277,3,3,277,900,900
184,60,3,3,60,950,950
185,27,3,3,27,1700,1700
186,316,5,5,316,2050,2050
187,81,6,6,81,2050,2050
188,351,5,5,351,1100,1100
189,275,5,5,275,1600,1600
190,1051,10,10,1051,2050,2050
191,71,8,8,71,2200,2200
192,11,14,14,11,2250,2250
193,94,12,12,94,5000,5000
194,732,5,5,732,750,750
195,270,5,5,270,850,850
196,166,5,5,166,1250,1250
197,357,7,7,357,1300,1300
198,352,8,8,352,2500,2500
199,7,15,15,7,1500,1500
200,65,5,5,65,1350,1350
201,296,5,5,296,1400,1400
202,648,7,7,648,900,900
203,36,5,5,36,1150,1150
204,53,9,9,53,5000,5000
205,1276,2,2,1276,400,400
206,950,2,2,950,600,600
207,165,6,6,165,1200,1200
208,198,7,7,198,550,550
209,27,7,7,27,2100,2100
210,77,15,15,77,2500,2500
211,437,2,2,437,700,700
212,431,2,2,431,800,800
213,585,2,2,585,1000,1000
214,45,2,2,45,1100,1100
215,149,5,5,149,1700,1700
216,204,2,2,204,550,550
217,93,6,6,93,650,650
218,300,7,7,300,850,850
219,36,16,16,36,1500,1500
220,17,2,2,17,1600,1600
221,20,2,2,20,1700,1700
222,22,6,6,22,1700,1700
223,333,14,14,333,2050,2050
224,249,4,4,249,450,450
225,119,4,4,119,550,550
226,1144,14,14,1144,700,700
227,63,8,8,63,750,750
228,248,10,10,248,850,850
229,627,10,10,627,900,900
230,151,14,14,151,950,950
231,379,10,10,379,2500,2500
232,254,4,4,254,1200,1200
233,516,2,2,516,350,350
234,359,6,6,359,800,800
235,12,5,5,12,2750,2750
236,9,5,5,9,3300,3300
237,50,7,7,50,4500,4500
238,80,3,3,80,1800,1800
239,74,5,5,74,1900,1900
240,105,6,6,105,3000,3000
241,79,3,3,79,3500,3500
242,847,10,10,847,450,450
243,795,3,3,795,800,800
244,43,4,4,43,950,950
245,54,2,2,54,950,950
246,120,2,2,120,1200,1200
247,88,3,3,88,1400,1400
248,51,4,4,51,1400,1400
249,434,4,4,434,2000,2000
250,95,6,6,95,2500,2500
251,116,2,2,116,650,650
252,402,8,8,402,3000,3000
253,67,18,18,67,3000,3000
254,137,2,2,137,750,750
255,583,4,4,583,800,800
256,178,10,10,178,1400,1400
257,1283,14,14,1283,1500,1500
258,102,6,6,102,900,900
259,159,5,5,159,950,950
260,30,6,6,30,1250,1250
261,197,7,7,197,1250,1250
262,140,7,7,140,2500,2500
263,292,7,7,292,1400,1400
264,729,15,15,729,2050,2050
265,116,8,8,116,2100,2100
266,310,2,2,310,450,450
267,216,7,7,216,450,450
268,3172,10,10,3172,200,200
269,1304,10,10,1304,350,350
270,142,14,14,142,350,350
271,12,7,7,12,4200,4200
272,21,8,8,21,4200,4200
273,95,6,6,95,550,550
274,293,14,14,293,1300,1300
275,9,17,17,9,2500,2500
