,Contact__c,Min_IT_Loan_ID__c,Opp_Number__c,Id,AccountID,Number_Of_Loans_Granted__c,Num_Of_Loans_Paid__c,Purpose_of_Loan__c,Total_Repayments__c,Amount,Term_in_Weeks__c,Payment_Frequency__c,StageName,Ratings
0,0032x00000d2Py7AAE,835652,4434431,0062x00000D2E3CAAV,0012x00000SIDYKAA5,10,4.0,Living Expenses,7,200,13.857,Fortnightly,Loan Paid,0.4
1,0032x00000bqYxSAAU,846129,4529720,0062x00000D8MwOAAV,0012x00000lIh7OAAS,4,0.0,Event - Holiday - Accommodation,3,500,6.571,Fortnightly,Loan Paid,0.0
2,0032x00000WjhLpAAJ,851865,4582822,0062x00000D9S6fAAF,0012x00000gmjS2AAI,4,0.0,One-off purchase,6,1200,6.143,Weekly,Loan Paid,0.0
3,0032x00000WjgarAAB,5149616,4581851,0062x00000D9QbVAAV,0012x00000gmie2AAA,5,0.0,Living Expenses,3,200,5.571,Fortnightly,Loan Paid,0.0
4,0032x00000WjgWaAAJ,851686,4581757,0062x00000D9QRzAAN,0012x00000gmiaiAAA,4,0.0,Wedding,2,700,7.143,Monthly,Loan Paid,0.0
5,0032x00000WjgLFAAZ,851655,4581639,0062x00000D9Q9oAAF,0012x00000gmiWBAAY,5,0.0,Medical Bill,2,1000,7.0,Monthly,Loan Paid,0.0
6,0032x00000Wjg6NAAR,851588,4581146,0062x00000D9PbUAAV,0012x00000gmiD5AAI,4,0.0,Vehicle Expense,6,700,6.286,Weekly,Loan Paid,0.0
7,0032x00000Wjg0fAAB,851540,4581105,0062x00000D9PUKAA3,0012x00000gmi6kAAA,4,0.0,Living Expenses,6,300,6.286,Weekly,Loan Paid,0.0
8,0032x00000Wjfw6AAB,851511,4580929,0062x00000D9PJLAA3,0012x00000gmi2yAAA,4,0.0,Vehicle - Registration,6,1200,6.714,Weekly,Loan Paid,0.0
9,0032x00000WjfqXAAR,851600,4580766,0062x00000D9P67AAF,0012x00000gmhyUAAQ,4,0.0,House furniture,6,500,6.286,Weekly,Loan Paid,0.0
