Contact__c,Min_IT_Loan_ID__c,Opp_Number__c,Id,AccountID,Number_Of_Loans_Granted__c,Num_Of_Loans_Paid__c,Purpose_of_Loan__c,Total_Repayments__c,Amount,Term_in_Weeks__c,Payment_Frequency__c,StageName,userId,loanId,count,LoanIdFormat
0032x00000TC3rzAAD,847887,4548477,0062x00000D8l3XAAR,0012x00000cx1cOAAQ,10,5.0,Travel Expenses,5,2000,8.857,Fortnightly,Loan Paid,884,116,0.0,1
0032x00000d2Py7AAE,908169,5061612,0062x00000DYwSGAA1,0012x00000SIDYKAA5,10,5.0,Vehicle Expenses,8,2050,16.0,Fortnightly,Loan Paid,2025,1606,0.0,1
0032x00000Xa0AaAAJ,5173114,6783507,0062x00000Ez5v4AAB,0012x00000hYT2nAAG,6,4.0,Other Expenses,8,2050,15.429,Fortnightly,Loan Paid,2391,4318,2.0,1
0032x00000XZ95UAAT,980873,5617845,0062x00000E52eHAAR,0012x00000hXkbyAAC,8,5.0,Medical Expenses,10,2500,19.0,Fortnightly,Loan Paid,1335,1384,2.0,1
0032x00000WFSA3AAP,804882,4164421,0062x00000CkflhAAB,0010K000021F2DWQA0,12,8.0,Living Expenses,7,1600,12.571,Fortnightly,Loan Paid,201,1810,4.0,1
00328000019uspzAAA,912402,5105400,0062x00000DZexPAAT,0012800001SDU3DAAX,62,59.0,Vehicle Expenses,3,2000,5.857,Fortnightly,Loan Paid,862,2591,56.0,1
00328000019urlNAAQ,990798,5863886,0062x00000ECEizAAH,0012800001SDTJgAAP,57,55.0,Veterinary Expenses,8,2050,14.714,Fortnightly,Loan Paid,2360,2718,53.0,1
0032800001DrlTXAAZ,832534,4408411,0062x00000D1k0tAAB,0012800001VofatAAB,50,47.0,Vehicle Expenses,7,1500,14.143,Fortnightly,Loan Paid,2792,2628,44.0,1
0032800001DrlTXAAZ,853230,4595560,0062x00000D9j1DAAR,0012800001VofatAAB,50,48.0,Home Maintenance & Repairs,7,1300,14.143,Fortnightly,Loan Paid,2792,4539,46.0,1
00328000019uswzAAA,1011646,6277685,0062x00000EbDlxAAF,0012800001SDU9yAAH,49,47.0,Travel Expenses,10,1500,19.429,Fortnightly,Loan Paid,2098,2458,45.0,1
00328000019uswzAAA,927036,5253618,0062x00000Dse1vAAB,0012800001SDU9yAAH,49,44.0,Furniture or Appliances,8,2050,15.857,Fortnightly,Loan Paid,2098,1997,39.0,1
00328000019uswzAAA,854826,4607715,0062x00000D9zJPAAZ,0012800001SDU9yAAH,49,42.0,Vehicle Expenses,7,1900,13.857,Fortnightly,Loan Paid,2098,1194,35.0,1
00328000019ut8KAAQ,925954,5244059,0062x00000DsUWAAA3,0012800001SDULPAA5,48,46.0,Travel Expenses,8,2050,15.0,Fortnightly,Loan Paid,2441,4231,44.0,1
00328000015Si7QAAS,834315,4423771,0062x00000D21Y1AAJ,0012800001MwUDDAA3,47,43.0,Travel Expenses,7,1900,14.0,Fortnightly,Loan Paid,1009,125,39.0,1
00328000019ut1DAAQ,931763,5321019,0062x00000DtVn0AAF,0012800001SDUE7AAP,47,45.0,Life Event Expenses,8,2050,15.714,Fortnightly,Loan Paid,831,90,43.0,1
00328000015Si7QAAS,881922,4815791,0062x00000DI5G1AAL,0012800001MwUDDAA3,47,44.0,Other Expenses,7,1900,13.429,Fortnightly,Loan Paid,1009,4187,41.0,1
0030K00001PWjWsQAL,947412,5551468,0062x00000E4E7wAAF,0010K00001feCQ6QAM,46,43.0,Life Event Expenses,7,1400,13.857,Fortnightly,Loan Paid,1235,1024,40.0,1
0030K00001PWjWsQAL,899660,4977140,0062x00000DXVA8AAP,0010K00001feCQ6QAM,46,42.0,Living Expenses,7,1500,13.714,Fortnightly,Loan Paid,1235,4354,38.0,1
