Min_IT_Loan_ID__c,Opp_Number__c,Id,AccountID,Number_Of_Loans_Granted__c,Num_Of_Loans_Paid__c,Purpose_of_Loan__c,Total_Repayments__c,Amount,Term_in_Weeks__c,Payment_Frequency__c,StageName,userId,loanId,count,LoanIdFormat
924183,5218704,0062x00000Ds4StAAJ,0012800001SDUGsAAP,47,43.0,Life Event Expenses,4,2000,18.571,Monthly,Loan Paid,70,4125,3,1
919931,5180314,0062x00000DrdLCAAZ,0010K00001cQWDjQAO,47,45.0,Travel Expenses,4,2050,16.429,Monthly,Loan Paid,161,4097,4,1
888135,4868701,0062x00000DJ3yWAAT,0010K00001cQWDjQAO,47,43.0,Other Expenses,4,2050,14.571,Monthly,Loan Paid,161,4095,3,1
939812,5431995,0062x00000DVGTYAA5,0010K00001hTzwHQAS,46,44.0,Living Expenses,5,2050,19.857,Monthly,Loan Paid,964,3396,4,1
831542,4399532,0062x00000D1bZJAAZ,0010K000020H0ozQAC,45,41.0,Travel Expenses,4,1350,14.429,Monthly,Loan Paid,2647,3646,3,1
995095,5937991,0062x00000EDKJgAAP,0010K000020H0ozQAC,45,43.0,Travel Expenses,4,2050,15.286,Monthly,Loan Paid,2647,122,4,1
877019,4774467,0062x00000DHLwfAAH,0010K000020H0ozQAC,45,42.0,Travel Expenses,5,2050,21.714,Monthly,Loan Paid,2647,2474,3,1
911481,5095257,0062x00000DZUTHAA5,0012800001SDTz4AAH,44,42.0,Home Maintenance & Repairs,4,2100,18.0,Monthly,Loan Paid,712,1583,4,1
847087,4541033,0062x00000D8bCaAAJ,0012800001SDTz4AAH,44,41.0,Home Maintenance & Repairs,4,1600,16.714,Monthly,Loan Paid,712,2970,3,1
5159574,5091899,0062x00000DZPYJAA5,0010K000022omonQAA,41,39.0,Living Expenses,4,2050,16.857,Monthly,Loan Paid,2781,1545,3,1
5147489,4484839,0062x00000D7S8ZAAV,0010K000022omonQAA,41,38.0,Living Expenses,3,2000,17.0,Monthly,Loan Paid,2781,1917,3,1
911814,5099057,0062x00000DZXJtAAP,0012800001SDTznAAH,38,36.0,Vehicle Expenses,4,2050,16.714,Monthly,Loan Paid,2406,297,3,1
983870,5689551,0062x00000E5tvHAAR,0012800001SDUCHAA5,37,35.0,Medical Expenses,4,2050,16.429,Monthly,Loan Paid,1974,1366,3,1
867315,4696310,0062x00000DFyXEAA1,0010K00001btqtsQAA,36,34.0,Medical Expenses,4,2500,17.0,Monthly,Loan Paid,2206,2755,3,1
844598,4514650,0062x00000D8670AAB,0012800001SDUC1AAP,36,34.0,Travel Expenses,4,2050,16.429,Monthly,Loan Paid,559,2505,3,1
929859,5287098,0062x00000Dt7cFAAR,0010K00001glf6YQAQ,34,33.0,Veterinary Expenses,4,2050,17.429,Monthly,Loan Paid,694,1487,3,1
841455,4485197,0062x00000D7Sh4AAF,0010K00001glf6YQAQ,34,32.0,Medical Expenses,4,1600,17.0,Monthly,Loan Paid,694,1256,3,1
995112,5938445,0062x00000EDKn7AAH,0010K00001zUKlhQAG,33,31.0,Vehicle Expenses,4,2050,17.286,Monthly,Loan Paid,496,662,2,1
933397,5343780,0062x00000DtkqaAAB,0012800001SDU2RAAX,33,31.0,Medical Expenses,4,2050,16.714,Monthly,Loan Paid,2820,3961,2,1
914472,5125915,0062x00000DZwRiAAL,0010K00001zUKlhQAG,33,30.0,Vehicle Expenses,5,2050,20.571,Monthly,Loan Paid,496,4017,2,1
1013346,6312334,0062x00000EblMSAAZ,0012800001Z6VsuAAF,32,30.0,Vehicle Expenses,3,1500,11.857,Monthly,Loan Paid,749,4530,2,1
998075,5992539,0062x00000EE7w7AAD,0010K00001eZTCqQAO,32,31.0,Vehicle Expenses,3,1750,10.857,Monthly,Loan Paid,2625,577,3,1
917379,5150433,0062x00000DrBhKAAV,0012800001SDU08AAH,32,29.0,Medical Expenses,5,2050,20.143,Monthly,Loan Paid,1103,87,2,1
883341,4828036,0062x00000DIKwMAAX,0012800001Z6VsuAAF,32,29.0,Vehicle Expenses,5,2050,22.714,Monthly,Loan Paid,749,2961,2,1
5175390,7280917,0062x00000FIqLkAAL,0010K000022Oyq9QAC,31,30.0,Living Expenses,4,2050,17.857,Monthly,Loan Paid,2167,2067,2,1
915406,5133982,0062x00000Da50rAAB,0010K00001xiS9TQAU,31,29.0,Living Expenses,4,2050,16.0,Monthly,Loan Paid,2534,150,2,1
