Min_IT_Loan_ID__c,Opp_Number__c,Id,AccountID,Number_Of_Loans_Granted__c,Num_Of_Loans_Paid__c,Purpose_of_Loan__c,Total_Repayments__c,Amount,Term_in_Weeks__c,Payment_Frequency__c,StageName,Applicant Age,userId,loanId,count,LoanIdFormat
5155270.0,4833598.0,0062x00000DIRQxAAP,0010K000026N8lUQAS,48.0,46.0,Travel Expenses,10.0,2000.0,9.857,Weekly,Loan Paid,36.0,6061,831,4.0,1
872195.0,4736264.0,0062x00000DGh5bAAD,0012800001Z5quwAAB,50.0,44.0,Vehicle Expenses,10.0,2000.0,9.857,Weekly,Loan Paid,41.0,3341,6977,3.0,1
911400.0,5095196.0,0062x00000DZUOCAA5,0012800001SDTBIAA5,44.0,39.0,Living Expenses,6.0,2000.0,6.0,Weekly,Loan Paid,33.0,2246,5857,3.0,1
5157393.0,4942438.0,0062x00000DWsO3AAL,0010K000029H14BQAS,41.0,37.0,Life Event Expenses,10.0,1400.0,10.143,Weekly,Loan Paid,42.0,5078,1483,3.0,1
5159089.0,5054966.0,0062x00000DYpBaAAL,0010K00002805chQAA,38.0,35.0,Living Expenses,10.0,2000.0,9.857,Weekly,Loan Paid,57.0,4390,7983,3.0,1
877335.0,4776137.0,0062x00000DHOd7AAH,0010K00001xksnkQAA,39.0,35.0,Home Maintenance & Repairs,10.0,2050.0,10.143,Weekly,Loan Paid,44.0,3843,4732,3.0,1
5155136.0,4826048.0,0062x00000DIIhyAAH,0010K000022pFX7QAM,37.0,34.0,Vehicle Expenses,10.0,1500.0,10.0,Weekly,Loan Paid,46.0,5366,8933,3.0,1
911749.0,5100105.0,0062x00000DZYoJAAX,0010K00001wUKuIQAW,29.0,28.0,Vehicle Expenses,6.0,1600.0,6.143,Weekly,Loan Paid,61.0,7119,2709,2.0,1
897515.0,4955382.0,0062x00000DX76cAAD,0010K00001eGonQQAS,34.0,28.0,Home Maintenance & Repairs,10.0,2000.0,10.0,Weekly,Loan Paid,56.0,2727,6988,2.0,1
994476.0,5925670.0,0062x00000ED9WNAA1,0012x00000NRVufAAH,28.0,24.0,Living Expenses,8.0,2050.0,9.429,Weekly,Loan Paid,31.0,728,1044,2.0,1
5158437.0,5004544.0,0062x00000DXyZCAA1,0012x000002alWVAAY,28.0,24.0,Vehicle Expenses,8.0,2000.0,8.143,Weekly,Loan Paid,43.0,6925,4745,2.0,1
5158008.0,4977776.0,0062x00000DXVlTAAX,0010K000021EUiZQAW,26.0,24.0,Travel Expenses,10.0,1500.0,10.0,Weekly,Loan Paid,47.0,3357,8446,2.0,1
5156153.0,4881598.0,0062x00000DJIZ1AAP,0012x000005SvFiAAK,27.0,24.0,Home Maintenance & Repairs,11.0,2000.0,10.714,Weekly,Loan Paid,31.0,3751,851,2.0,1
5154298.0,4783102.0,0062x00000DHWbVAAX,0012x000003DEfZAAW,28.0,24.0,Furniture or Appliances,10.0,1500.0,10.857,Weekly,Loan Paid,49.0,6634,2751,2.0,1
