Min_IT_Loan_ID__c,Opp_Number__c,Id,AccountID,Number_Of_Loans_Granted__c,Num_Of_Loans_Paid__c,Purpose_of_Loan__c,Total_Repayments__c,Amount,Term_in_Weeks__c,Payment_Frequency__c,StageName,userId,loanId,count,LoanIdFormat
872195,4736264,0062x00000DGh5bAAD,0012800001Z5quwAAB,50,44.0,Vehicle Expenses,10,2000,9.857,Weekly,Loan Paid,1319,1985,4,1
5155270,4833598,0062x00000DIRQxAAP,0010K000026N8lUQAS,48,46.0,Travel Expenses,10,2000,9.857,Weekly,Loan Paid,797,2147,5,1
911400,5095196,0062x00000DZUOCAA5,0012800001SDTBIAA5,43,39.0,Living Expenses,6,2000,6.0,Weekly,Loan Paid,1090,2598,4,1
5157393,4942438,0062x00000DWsO3AAL,0010K000029H14BQAS,41,37.0,Life Event Expenses,10,1400,10.143,Weekly,Loan Paid,884,2411,4,1
877335,4776137,0062x00000DHOd7AAH,0010K00001xksnkQAA,39,35.0,Home Maintenance & Repairs,10,2050,10.143,Weekly,Loan Paid,438,2053,4,1
5159089,5054966,0062x00000DYpBaAAL,0010K00002805chQAA,38,35.0,Living Expenses,10,2000,9.857,Weekly,Loan Paid,847,2544,4,1
5155136,4826048,0062x00000DIIhyAAH,0010K000022pFX7QAM,37,34.0,Vehicle Expenses,10,1500,10.0,Weekly,Loan Paid,681,2121,4,1
897515,4955382,0062x00000DX76cAAD,0010K00001eGonQQAS,33,28.0,Home Maintenance & Repairs,10,2000,10.0,Weekly,Loan Paid,63,2432,3,1
846492,4534121,0062x00000D8SYmAAN,0010K000022izS0QAI,31,29.0,Travel Expenses,8,2050,8.286,Weekly,Loan Paid,660,1601,3,1
832904,4410238,0062x00000D1m5dAAB,0010K00001sZkdJQAS,30,28.0,Home Maintenance & Repairs,10,2050,10.143,Weekly,Loan Paid,309,1369,3,1
911749,5100105,0062x00000DZYoJAAX,0010K00001wUKuIQAW,29,28.0,Vehicle Expenses,6,1600,6.143,Weekly,Loan Paid,401,2610,3,1
994476,5925670,0062x00000ED9WNAA1,0012x00000NRVufAAH,28,24.0,Living Expenses,8,2050,9.429,Weekly,Loan Paid,2189,3136,3,1
5158437,5004544,0062x00000DXyZCAA1,0012x000002alWVAAY,28,24.0,Vehicle Expenses,8,2000,8.143,Weekly,Loan Paid,1367,2478,3,1
5154298,4783102,0062x00000DHWbVAAX,0012x000003DEfZAAW,28,24.0,Furniture or Appliances,10,1500,10.857,Weekly,Loan Paid,1479,2068,3,1
5173688,6895299,0062x00000F1SA9AAN,0012x00000BFelXAAT,27,24.0,Vehicle Expenses,10,2050,9.714,Weekly,Loan Paid,1628,4343,3,1
902564,5008073,0062x00000DY12QAAT,0012800001IzG58AAF,27,23.0,Travel Expenses,8,1950,7.857,Weekly,Loan Paid,1014,2482,2,1
5156153,4881598,0062x00000DJIZ1AAP,0012x000005SvFiAAK,27,24.0,Home Maintenance & Repairs,11,2000,10.714,Weekly,Loan Paid,1566,2221,3,1
854734,4607002,0062x00000D9yYsAAJ,0010K00001b0I8rQAE,27,22.0,Veterinary Expenses,7,1750,7.857,Weekly,Loan Paid,6,1762,2,1
5149859,4592138,0062x00000D9dchAAB,0012x00000BFelXAAT,27,21.0,Vehicle Expenses,10,2000,10.0,Weekly,Loan Paid,1628,1707,2,1
840731,4478797,0062x00000D7KZpAAN,0012800001SDTuHAAX,27,25.0,Furniture or Appliances,7,1500,8.0,Weekly,Loan Paid,1112,1496,3,1
5173688,6895299,0062x00000F1SA9AAN,0012x00000BFelXAAT,27,24.0,Vehicle Expenses,10,2050,9.714,Weekly,Loan Paid,1628,4343,3,1
1034824,6713563,0062x00000Ey8qeAAB,0012x00000TJAZGAA5,10,7.0,Home Maintenance & Repairs,10,1500,10.286,Weekly,Loan Paid,2506,4078,1,1
828824,4377252,0062x00000D1ESHAA3,0012x00000TtHOWAA3,7,5.0,Vehicle Expenses,11,2000,10.857,Weekly,Loan Paid,2544,1195,1,1
828419,4371551,0062x00000D19FHAAZ,0012x00000G1VXUAA3,10,6.0,Other Expenses,7,1800,7.143,Weekly,Loan Paid,1741,1000,1,1
827704,4369558,0062x00000D17CQAAZ,0012800001NHHBpAAP,27,23.0,Home Maintenance & Repairs,10,2000,10.0,Weekly,Loan Paid,1050,902,2,1
827506,4368484,0062x00000D169uAAB,0012x000002ba6BAAQ,8,5.0,Vehicle Expenses,10,1500,10.143,Weekly,Loan Paid,1394,861,1,1
827380,4367338,0062x00000D1541AAB,0012x00000G1V3sAAF,13,9.0,Living Expenses,10,1600,10.0,Weekly,Loan Paid,1740,792,1,1
827332,4362613,0062x00000D0zmHAAR,0010K000021WrbdQAC,13,7.0,Living Expenses,10,1500,10.286,Weekly,Loan Paid,623,662,1,1
924183,5218704,0062x00000Ds4StAAJ,0012800001SDUGsAAP,47,43.0,Life Event Expenses,4,2000,18.571,Monthly,Loan Paid,1237,2772,4,2
919931,5180314,0062x00000DrdLCAAZ,0010K00001cQWDjQAO,47,45.0,Travel Expenses,4,2050,16.429,Monthly,Loan Paid,37,2729,5,2
888135,4868701,0062x00000DJ3yWAAT,0010K00001cQWDjQAO,47,43.0,Other Expenses,4,2050,14.571,Monthly,Loan Paid,37,2202,4,2
939812,5431995,0062x00000DVGTYAA5,0010K00001hTzwHQAS,46,44.0,Living Expenses,5,2050,19.857,Monthly,Loan Paid,146,2281,5,2
831542,4399532,0062x00000D1bZJAAZ,0010K000020H0ozQAC,45,41.0,Travel Expenses,4,1350,14.429,Monthly,Loan Paid,539,1348,4,2
995095,5937991,0062x00000EDKJgAAP,0010K000020H0ozQAC,45,43.0,Travel Expenses,4,2050,15.286,Monthly,Loan Paid,539,3141,5,2
877019,4774467,0062x00000DHLwfAAH,0010K000020H0ozQAC,45,42.0,Travel Expenses,5,2050,21.714,Monthly,Loan Paid,539,2051,4,2
911481,5095257,0062x00000DZUTHAA5,0012800001SDTz4AAH,44,42.0,Home Maintenance & Repairs,4,2100,18.0,Monthly,Loan Paid,1133,2602,5,2
847087,4541033,0062x00000D8bCaAAJ,0012800001SDTz4AAH,44,41.0,Home Maintenance & Repairs,4,1600,16.714,Monthly,Loan Paid,1133,1615,4,2
5159574,5091899,0062x00000DZPYJAA5,0010K000022omonQAA,41,39.0,Living Expenses,4,2050,16.857,Monthly,Loan Paid,674,2594,4,2
5147489,4484839,0062x00000D7S8ZAAV,0010K000022omonQAA,41,38.0,Living Expenses,3,2000,17.0,Monthly,Loan Paid,674,1501,4,2
911814,5099057,0062x00000DZXJtAAP,0012800001SDTznAAH,38,36.0,Vehicle Expenses,4,2050,16.714,Monthly,Loan Paid,1139,2609,4,2
983870,5689551,0062x00000E5tvHAAR,0012800001SDUCHAA5,37,35.0,Medical Expenses,4,2050,16.429,Monthly,Loan Paid,1212,3025,4,2
867315,4696310,0062x00000DFyXEAA1,0010K00001btqtsQAA,36,34.0,Medical Expenses,4,2500,17.0,Monthly,Loan Paid,16,1921,4,2
844598,4514650,0062x00000D8670AAB,0012800001SDUC1AAP,36,34.0,Travel Expenses,4,2050,16.429,Monthly,Loan Paid,1210,1574,4,2
929859,5287098,0062x00000Dt7cFAAR,0010K00001glf6YQAQ,34,33.0,Veterinary Expenses,4,2050,17.429,Monthly,Loan Paid,121,2848,4,2
841455,4485197,0062x00000D7Sh4AAF,0010K00001glf6YQAQ,34,32.0,Medical Expenses,4,1600,17.0,Monthly,Loan Paid,121,1503,4,2
995112,5938445,0062x00000EDKn7AAH,0010K00001zUKlhQAG,33,31.0,Vehicle Expenses,4,2050,17.286,Monthly,Loan Paid,515,3143,3,2
933397,5343780,0062x00000DtkqaAAB,0012800001SDU2RAAX,33,31.0,Medical Expenses,4,2050,16.714,Monthly,Loan Paid,1151,2894,3,2
914472,5125915,0062x00000DZwRiAAL,0010K00001zUKlhQAG,33,30.0,Vehicle Expenses,5,2050,20.571,Monthly,Loan Paid,515,2641,3,2
1013346,6312334,0062x00000EblMSAAZ,0012800001Z6VsuAAF,32,30.0,Vehicle Expenses,3,1500,11.857,Monthly,Loan Paid,1322,3277,3,2
998075,5992539,0062x00000EE7w7AAD,0010K00001eZTCqQAO,32,31.0,Vehicle Expenses,3,1750,10.857,Monthly,Loan Paid,81,3173,4,2
917379,5150433,0062x00000DrBhKAAV,0012800001SDU08AAH,32,29.0,Medical Expenses,5,2050,20.143,Monthly,Loan Paid,1142,2680,3,2
883341,4828036,0062x00000DIKwMAAX,0012800001Z6VsuAAF,32,29.0,Vehicle Expenses,5,2050,22.714,Monthly,Loan Paid,1322,2127,3,2
5175390,7280917,0062x00000FIqLkAAL,0010K000022Oyq9QAC,31,30.0,Living Expenses,4,2050,17.857,Monthly,Loan Paid,650,4569,3,2
915406,5133982,0062x00000Da50rAAB,0010K00001xiS9TQAU,31,29.0,Living Expenses,4,2050,16.0,Monthly,Loan Paid,421,2651,3,2
891242,4895608,0062x00000DW5K7AAL,0010K00001ifvY6QAI,31,29.0,Vehicle Expenses,4,2050,17.714,Monthly,Loan Paid,168,2347,3,2
864950,4680698,0062x00000DFfrOAAT,0012800001HnGXzAAN,31,29.0,Living Expenses,4,2050,17.286,Monthly,Loan Paid,995,1885,3,2
855992,4615768,0062x00000DA9dPAAT,0010K00001xiS9TQAU,31,28.0,Living Expenses,4,2050,14.286,Monthly,Loan Paid,421,1783,3,2
5156750,4909633,0062x00000DWJWHAA5,0010K000028ewo6QAA,30,27.0,Other Expenses,3,2300,12.143,Monthly,Loan Paid,860,2364,3,2
5147510,4485626,0062x00000D7TBJAA3,0010K000028ewo6QAA,30,26.0,Other Expenses,4,2050,17.0,Monthly,Loan Paid,860,1504,3,2
1009264,6229085,0062x00000EO4Y8AAL,0012800001QCqQJAA1,29,27.0,Travel Expenses,4,2500,17.286,Monthly,Loan Paid,1069,3249,3,2
5169333,6177434,0062x00000ENVDtAAP,0010K0000260MIYQA2,29,27.0,Travel Expenses,6,2050,26.714,Monthly,Loan Paid,783,3236,3,2
5168442,6038355,0062x00000ELWMeAAP,0010K000029JYkeQAG,29,27.0,Travel Expenses,5,2050,20.0,Monthly,Loan Paid,897,3190,3,2
928649,5267812,0062x00000Dsn14AAB,0012800001QCqQJAA1,29,25.0,Medical Expenses,3,2000,13.286,Monthly,Loan Paid,1069,2828,3,2
5162509,5267338,0062x00000DsoeQAAR,0010K0000260MIYQA2,29,26.0,Relocation Expenses,5,2100,21.857,Monthly,Loan Paid,783,2829,3,2
5159195,5061867,0062x00000DYwq3AAD,0010K000029JYkeQAG,29,26.0,Travel Expenses,4,2050,17.571,Monthly,Loan Paid,897,2565,3,2
892221,4904462,0062x00000DWEmQAAX,0012800001QCqQJAA1,29,25.0,Travel Expenses,4,2500,17.0,Monthly,Loan Paid,1069,2358,3,2
5155816,4867228,0062x00000DJ1UdAAL,0010K0000260MIYQA2,29,25.0,Relocation Expenses,4,2050,17.286,Monthly,Loan Paid,783,2196,3,2
5155678,4860961,0062x00000DItQkAAL,0012x000005T3qnAAC,29,26.0,Living Expenses,4,2000,17.571,Monthly,Loan Paid,1568,2184,3,2
1003208,6105234,0062x00000EMSPAAA5,0012800001SDTuNAAX,28,26.0,Travel Expenses,4,1500,14.714,Monthly,Loan Paid,1114,3218,3,2
1002724,6095244,0062x00000EMJSsAAP,0012800001SDUEXAA5,28,26.0,Vehicle Expenses,4,2050,17.143,Monthly,Loan Paid,1222,3211,3,2
995129,5938477,0062x00000EDKprAAH,0012800001SDTuBAAX,28,26.0,Relocation Expenses,5,2100,21.571,Monthly,Loan Paid,1111,3144,3,2
5166074,5627942,0062x00000E59uJAAR,0010K00002BTaMKQA1,28,26.0,Medical Expenses,5,2500,21.714,Monthly,Loan Paid,943,2993,3,2
5163492,5377468,0062x00000DUdNzAAL,0010K00002BTaMKQA1,28,24.0,Medical Expenses,4,2000,16.286,Monthly,Loan Paid,943,2233,3,2
917503,5155037,0062x00000DrGFNAA3,0012800001SDUEXAA5,28,25.0,Medical Expenses,4,2050,17.857,Monthly,Loan Paid,1222,2695,3,2
912347,5103130,0062x00000DZd9LAAT,0012800001PUgvDAAT,28,25.0,Travel Expenses,4,2050,17.429,Monthly,Loan Paid,1064,2617,3,2
909622,5077148,0062x00000DZ9ntAAD,0012800001SDTuBAAX,28,25.0,Travel Expenses,4,2050,17.143,Monthly,Loan Paid,1111,2584,3,2
908872,5062043,0062x00000DYx6uAAD,0012800001GgFRtAAN,28,25.0,Home Maintenance & Repairs,4,2050,17.714,Monthly,Loan Paid,987,2566,3,2
5156588,4900431,0062x00000DWBo5AAH,0010K00002BTaMKQA1,28,24.0,Medical Expenses,4,2050,16.571,Monthly,Loan Paid,943,2354,3,2
875001,4755143,0062x00000DH0VqAAL,0012800001SDTuNAAX,28,25.0,Travel Expenses,4,2000,15.714,Monthly,Loan Paid,1114,2019,3,2
5148097,4509537,0062x00000D7zw1AAB,0010K00002BTaMKQA1,28,23.0,Medical Expenses,4,2050,16.429,Monthly,Loan Paid,943,1562,2,2
831530,4398961,0062x00000D1b2UAAR,0012800001SDTuBAAX,28,23.0,Travel Expenses,4,1950,14.571,Monthly,Loan Paid,1111,1347,2,2
1053059,7049276,0062x00000F3SAkAAN,0012800001SDU5xAAH,27,26.0,Travel Expenses,6,2050,24.143,Monthly,Loan Paid,1171,4461,3,2
999913,6028933,0062x00000EEgidAAD,0012800001HON30AAH,27,24.0,Vehicle Expenses,4,2050,15.857,Monthly,Loan Paid,991,3185,3,2
982442,5654138,0062x00000E5RnVAAV,0012800001OCfMHAA1,27,24.0,Home Maintenance & Repairs,5,2050,21.286,Monthly,Loan Paid,1056,3007,3,2
937208,5400426,0062x00000DUuNNAA1,0012800001YHTCaAAP,27,25.0,Child Expenses,4,2100,18.0,Monthly,Loan Paid,1311,2257,3,2
936549,5389657,0062x00000DUmmBAAT,0012800001SDU5xAAH,27,25.0,Other Expenses,4,2050,16.857,Monthly,Loan Paid,1171,2247,3,2
5163487,5377426,0062x00000DUdLeAAL,0010K000022k8DdQAI,27,23.0,Vehicle Expenses,4,1500,16.286,Monthly,Loan Paid,671,2232,2,2
927276,5254760,0062x00000DsfZUAAZ,0012800001SDTuhAAH,27,24.0,Living Expenses,4,2050,16.143,Monthly,Loan Paid,1116,2823,3,2
910256,5083847,0062x00000DZGUuAAP,0012800001HON30AAH,27,23.0,Travel Expenses,4,2200,17.0,Monthly,Loan Paid,991,2587,2,2
5156443,4893817,0062x00000DW3WtAAL,0010K000022k8DdQAI,27,23.0,Vehicle Expenses,4,2050,16.857,Monthly,Loan Paid,671,2346,2,2
883495,4828877,0062x00000DILynAAH,0012800001OCfMHAA1,27,23.0,Vehicle Expenses,4,2050,18.286,Monthly,Loan Paid,1056,2133,2,2
877825,4781297,0062x00000DHUPIAA5,0012800001YHTCaAAP,27,24.0,Travel Expenses,4,2050,17.0,Monthly,Loan Paid,1311,2063,3,2
856541,4619634,0062x00000DAEIHAA5,0010K00001uFnvpQAC,27,24.0,Life Event Expenses,4,1650,14.286,Monthly,Loan Paid,344,1791,3,2
840110,4472943,0062x00000D7EFoAAN,0012800001HON30AAH,27,22.0,Other Expenses,4,2050,17.429,Monthly,Loan Paid,991,1487,2,2
852073,4586758,0062x00000D9WTcAAN,0012800001WaIKkAAN,27,25.0,Home Maintenance & Repairs,4,2000,14.857,Monthly,Loan Paid,1298,1703,3,2
5150408,4609688,0062x00000DA25GAAT,0010K000022k8L8QAI,26,23.0,Other Expenses,9,1500,14.571,Monthly,Loan Paid,672,1772,3,2
821208,4321785,0062x00000D0DUAAA3,0012800001SDUGsAAP,47,41.0,Other Expenses,4,2000,16.286,Monthly,Loan Paid,1237,327,4,2
772372,3866452,0062x00000CRvF0AAL,0012800001SDUBJAA5,45,43.0,Travel Expenses,4,2000,17.0,Monthly,Loan Paid,1206,42,5,2
795254,4063412,0062x00000CibzoAAB,0012800001FzWTjAAN,41,34.0,Travel Expenses,4,2050,16.714,Monthly,Loan Paid,985,181,3,2
819933,4312587,0062x00000D02YuAAJ,0012800001SDTziAAH,39,36.0,Travel Expenses,4,2000,16.429,Monthly,Loan Paid,1138,313,4,2
815452,4271225,0062x00000CzGq7AAF,0012800001SDTznAAH,38,35.0,Vehicle Expenses,4,1500,17.286,Monthly,Loan Paid,1139,290,4,2
779670,3928000,0062x00000CTCq6AAH,0012800001SDUC1AAP,36,33.0,Relocation Expenses,4,1400,16.143,Monthly,Loan Paid,1210,92,4,2
769636,3840923,0062x00000CRO2SAAX,0010K00001glf6YQAQ,34,30.0,Travel Expenses,3,1950,13.286,Monthly,Loan Paid,121,22,3,2
1063462,7315116,0062x00000FJJiZAAX,0010K00001y9QJ6QAM,12,10.0,Other Expenses,5,2050,20.286,Monthly,Loan Paid,470,4582,1,2
5175390,7280917,0062x00000FIqLkAAL,0010K000022Oyq9QAC,31,30.0,Living Expenses,4,2050,17.857,Monthly,Loan Paid,650,4569,3,2
1053670,7099942,0062x00000F42EoAAJ,0012800001OjWJYAA3,9,8.0,Home Maintenance & Repairs,5,2500,18.429,Monthly,Loan Paid,1061,4488,1,2
1053059,7049276,0062x00000F3SAkAAN,0012800001SDU5xAAH,27,26.0,Travel Expenses,6,2050,24.143,Monthly,Loan Paid,1171,4461,3,2
1049462,6991872,0062x00000F2ixAAAR,0012x00000XPGEyAAP,8,6.0,Travel Expenses,4,2200,15.571,Monthly,Loan Paid,2699,4428,1,2
1046223,6927009,0062x00000F1sjIAAR,0012x00000g8wzlAAA,6,5.0,Home Maintenance & Repairs,5,2050,21.143,Monthly,Loan Paid,2846,4377,1,2
1044133,6887003,0062x00000F1LehAAF,0012x00000Mh2OIAAZ,7,6.0,Home Maintenance & Repairs,4,2050,17.0,Monthly,Loan Paid,2123,4336,1,2
1041906,6848259,0062x00000EzyuQAAR,0012x00000SHdBoAAL,12,9.0,Medical Expenses,4,2050,17.429,Monthly,Loan Paid,2436,4306,1,2
1036776,6756627,0062x00000EyiElAAJ,0010K00001mD0c7QAC,20,18.0,Travel Expenses,5,2050,19.0,Monthly,Loan Paid,218,4152,2,2
1036247,6746847,0062x00000EyZCMAA3,0012x00000MjJZlAAN,9,8.0,Other Expenses,4,2250,16.857,Monthly,Loan Paid,2167,4136,1,2
1034703,6711823,0062x00000Ey6sJAAR,0010K000028hcM7QAI,23,21.0,Furniture or Appliances,6,2050,23.429,Monthly,Loan Paid,877,4073,2,2
1032697,6670394,0062x00000ExW7OAAV,0010K00001hC446QAC,11,10.0,Living Expenses,4,2050,15.571,Monthly,Loan Paid,125,3978,1,2
1031786,6648956,0062x00000ExFsJAAV,0010K00001sZqQZQA0,19,16.0,Home Maintenance & Repairs,5,2050,20.286,Monthly,Loan Paid,310,3945,2,2
5172194,6608779,0062x00000Ewho9AAB,0010K00002ATs43QAD,10,9.0,Other Expenses,6,2050,25.0,Monthly,Loan Paid,917,3847,1,2
1029041,6598519,0062x00000EwYyaAAF,0010K000020GzWGQA0,7,6.0,Furniture or Appliances,5,2050,20.0,Monthly,Loan Paid,538,3810,1,2
1027791,6576135,0062x00000EwGjgAAF,0012800001OD8JYAA1,18,16.0,Home Maintenance & Repairs,5,2100,21.286,Monthly,Loan Paid,1057,3749,2,2
1027336,6564851,0062x00000Ew80lAAB,0012x000005TAAzAAO,10,8.0,Travel Expenses,5,2500,21.429,Monthly,Loan Paid,1569,3721,1,2
1027270,6564237,0062x00000Ew8PBAAZ,0012x00000XPGEyAAP,8,4.0,Home Maintenance & Repairs,6,2050,30.143,Monthly,Loan Paid,2699,3723,0,2
1027125,6560979,0062x00000Ew6DbAAJ,0010K000023zUJ8QAM,20,18.0,Furniture or Appliances,4,2500,17.0,Monthly,Loan Paid,713,3718,2,2
1024556,6510994,0062x00000EegsIAAR,0012x00000Pwq9oAAB,8,6.0,Home Maintenance & Repairs,4,2050,13.857,Monthly,Loan Paid,2330,3574,1,2
1022184,6460686,0062x00000Ee4w8AAB,0012x000002e6EnAAI,8,7.0,Vehicle Expenses,4,2050,14.0,Monthly,Loan Paid,1447,3442,1,2
1021658,6452338,0062x00000EdwwOAAR,0012x00000g8wzlAAA,6,4.0,Other Expenses,5,2050,19.286,Monthly,Loan Paid,2846,3406,1,2
1020925,6441391,0062x00000EdlPEAAZ,0010K000023QMycQAG,16,14.0,Vehicle Expenses,4,2050,14.286,Monthly,Loan Paid,703,3356,2,2
829392,4379053,0062x00000D1GaMAAV,0012800001IxkFNAAZ,23,19.0,Living Expenses,4,1400,16.714,Monthly,Loan Paid,1005,1308,2,2
828732,4376737,0062x00000D1EK2AAN,0012x00000RrBeEAAV,8,5.0,Furniture or Appliances,4,1750,15.143,Monthly,Loan Paid,2374,1187,1,2
828676,4376092,0062x00000D1DS6AAN,0010K00002ARJFoQAP,9,7.0,Life Event Expenses,4,2050,15.143,Monthly,Loan Paid,909,1118,1,2
828587,4375780,0062x00000D1DSZAA3,0012x00000LQyjmAAD,7,5.0,Home Maintenance & Repairs,4,1500,17.143,Monthly,Loan Paid,2082,1121,1,2
828087,4370838,0062x00000D18RbAAJ,0012x000008J0XmAAK,6,5.0,Furniture or Appliances,4,2050,13.714,Monthly,Loan Paid,1583,967,1,2
827978,4370721,0062x00000D18JrAAJ,0012x000003Eo2jAAC,16,13.0,Vehicle Expenses,4,2000,15.286,Monthly,Loan Paid,1524,960,1,2
827927,4369723,0062x00000D17JXAAZ,0010K00001tz6PmQAI,14,12.0,Medical - Dental,4,1500,15.429,Monthly,Loan Paid,333,912,1,2
827436,4367976,0062x00000D15fkAAB,0010K00001ffLY0QAM,13,9.0,Other Expenses,4,2000,15.571,Monthly,Loan Paid,100,834,1,2
827363,4367250,0062x00000D150rAAB,0012x00000TtYN1AAN,7,4.0,Home Maintenance & Repairs,4,2050,16.143,Monthly,Loan Paid,2553,787,1,2
827252,4363259,0062x00000D10kvAAB,0012x00000INkipAAD,8,7.0,Life Event Expenses,4,2050,16.143,Monthly,Loan Paid,1927,694,1,2
826702,4360987,0062x00000D0xokAAB,0010K00002BT2VBQA1,19,15.0,Furniture or Appliances,4,2050,17.429,Monthly,Loan Paid,936,572,2,2
826492,4360111,0062x00000D0wiHAAR,0012x00000TtMSMAA3,6,4.0,Life Event Expenses,4,2000,16.0,Monthly,Loan Paid,2549,545,1,2
826556,4359798,0062x00000D0wGJAAZ,0012x00000Nxv95AAB,12,7.0,Life Event Expenses,4,1300,17.429,Monthly,Loan Paid,2224,531,1,2
826312,4358687,0062x00000D0v0TAAR,0012x00000LRJnAAAX,8,4.0,Other Expenses,4,2000,15.429,Monthly,Loan Paid,2083,489,0,2
826296,4358546,0062x00000D0us0AAB,0012x000003F0yDAAS,11,7.0,Life Event Expenses,4,2050,15.429,Monthly,Loan Paid,1532,486,1,2
826278,4358079,0062x00000D0uTAAAZ,0012x00000SIJZ2AAP,6,4.0,Home Maintenance & Repairs,4,2050,15.0,Monthly,Loan Paid,2464,473,1,2
826816,4354359,0062x00000D0q4VAAR,0010K00001y2PLyQAM,9,5.0,Travel Expenses,4,2050,14.286,Monthly,Loan Paid,445,411,1,2
847887,4548477,0062x00000D8l3XAAR,0012x00000cx1cOAAQ,10,5.0,Travel Expenses,5,2000,8.857,Fortnightly,Loan Paid,2767,1632,0,3
908169,5061612,0062x00000DYwSGAA1,0012x00000SIDYKAA5,10,5.0,Vehicle Expenses,8,2050,16.0,Fortnightly,Loan Paid,2461,2562,0,3
5173114,6783507,0062x00000Ez5v4AAB,0012x00000hYT2nAAG,6,4.0,Other Expenses,8,2050,15.429,Fortnightly,Loan Paid,2875,4201,1,3
